CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_SEX,VIC_AGE_GROUP,VIC_RACE,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,JURISDICTION_CODE,HOUSING_PSA
6325701240,2023-07-26,13:41:05,2023-09-11,14:48:05,2020-02-07,290,Drug Trafficking,642,Murder,ATTEMPTED,MISDEMEANOR,Gujarat Police,Gujarat,2,Inside,Park,,,535062,652547,-86.8081785,1.830798,"-19.5651005, -122.141399",Gujarat Zone,Surat Police Station,M,<18,Other Asian,18-24,Black,M,17,7,128
4257759773,2022-08-29,11:28:14,2024-03-06,18:50:02,2020-10-08,832,Drug Trafficking,363,Drug Trafficking,ATTEMPTED,MISDEMEANOR,Maharashtra Police,Maharashtra,60,Outside,Park,,,728618,806260,69.927953,92.990214,"61.8808255, 137.756128",Maharashtra Zone,Mumbai Police Station,M,<18,Indian,<18,White,F,5,6,182
9098099408,2023-01-29,09:17:20,2020-02-02,17:51:46,2022-11-11,866,Cyber Crime,712,Kidnapping,ATTEMPTED,VIOLATION,Gujarat Police,Gujarat,100,Inside,Public Transport,,,929436,567279,14.9595375,123.060744,"23.406407, 173.408424",Gujarat Zone,Vadodara Police Station,F,<18,Black,45-64,Black,F,2,4,119
6009072064,2020-08-29,14:11:45,2021-02-14,07:54:40,2024-09-25,522,Kidnapping,508,Kidnapping,ATTEMPTED,FELONY,West Bengal Police,West Bengal,32,Inside,Public Transport,,,578270,877719,8.9597405,-164.648689,"-83.5839185, 159.513472",West Bengal Zone,Kolkata Police Station,F,18-24,Indian,45-64,White,F,9,9,109
5423545983,2020-01-18,23:35:57,2022-08-11,05:55:44,2022-08-11,776,Cyber Crime,445,Murder,ATTEMPTED,VIOLATION,Karnataka Police,Karnataka,52,Outside,Residence,Mysore,,504556,930386,-32.4080605,-29.462952,"48.5182105, 46.095371",Karnataka Zone,Mysore Police Station,M,45-64,Indian,45-64,Black,M,16,12,160
301266412,2022-10-05,15:41:45,2024-09-06,06:44:13,2020-09-27,506,Dowry Death,467,Vehicle Theft,ATTEMPTED,FELONY,Bihar Police,Bihar,2,Outside,Commercial,,,598590,686699,-71.7629645,-86.494464,"37.7469315, 46.980201",Bihar Zone,Gaya Police Station,F,25-44,Black,45-64,Indian,F,15,10,159
6199235803,2021-12-17,09:04:14,2021-03-04,00:58:12,2023-09-13,741,Kidnapping,565,Assault,COMPLETED,MISDEMEANOR,Karnataka Police,Karnataka,80,Outside,Street,Bangalore,,939524,908943,35.570942,-76.419259,"-4.395569, 109.780785",Karnataka Zone,Bangalore Police Station,M,25-44,White,18-24,Black,F,16,9,94
4889340328,2022-12-02,20:26:00,2023-07-17,12:09:46,2020-12-15,837,Theft,720,Murder,ATTEMPTED,VIOLATION,Rajasthan Police,Rajasthan,2,Inside,Street,,,618978,686731,-62.1834665,-80.059699,"-8.4604885, 56.183604",Rajasthan Zone,Jodhpur Police Station,F,25-44,Black,25-44,White,F,3,17,139
9756322576,2021-07-13,03:24:11,2022-08-06,10:48:24,2020-07-13,323,Vehicle Theft,871,Vehicle Theft,COMPLETED,VIOLATION,Rajasthan Police,Rajasthan,83,Outside,Public Transport,,,718614,734643,-29.8416385,8.421785,"84.603684, -140.862748",Rajasthan Zone,Jodhpur Police Station,F,25-44,Black,45-64,White,M,22,15,2
4248988088,2020-05-16,02:36:38,2021-01-17,23:58:35,2023-03-26,259,Domestic Violence,708,Drug Trafficking,ATTEMPTED,MISDEMEANOR,Delhi Police,Delhi,57,Outside,Residence,,,774261,787700,4.505002,17.639477,"-5.9726475, 60.819825",Delhi Zone,Dwarka Police Station,F,25-44,White,25-44,Other Asian,F,17,19,108
4545596459,2022-09-02,01:48:52,2024-10-19,15:35:40,2023-09-13,934,Cyber Crime,376,Murder,COMPLETED,FELONY,Uttar Pradesh Police,Uttar Pradesh,46,Outside,Park,,,725594,870170,44.848412,-113.953668,"-51.279550, -95.583226",Uttar Pradesh Zone,Noida Police Station,F,65+,Other Asian,18-24,Indian,M,19,9,65
3195726660,2023-03-16,19:24:32,2022-06-05,18:05:05,2024-10-26,728,Kidnapping,297,Domestic Violence,ATTEMPTED,MISDEMEANOR,Gujarat Police,Gujarat,84,Outside,Street,,,975620,618966,3.5894215,-139.834794,"-22.6211525, -41.212322",Gujarat Zone,Vadodara Police Station,F,65+,White,45-64,Indian,F,9,4,164
5211953712,2022-10-10,19:40:08,2020-08-10,06:42:44,2023-08-19,742,Drug Trafficking,626,Fraud,COMPLETED,MISDEMEANOR,Uttar Pradesh Police,Uttar Pradesh,42,Inside,Residence,,,767156,951096,-83.887141,-58.724391,"-28.5439525, 166.155936",Uttar Pradesh Zone,Noida Police Station,F,<18,Black,25-44,Other Asian,M,10,8,4
27634086,2024-06-28,01:34:01,2022-10-02,10:02:52,2022-04-25,413,Drug Trafficking,141,Theft,COMPLETED,VIOLATION,Karnataka Police,Karnataka,77,Inside,Public Transport,Mysore,,596523,710854,-12.4879335,7.630979,"46.223475, -5.429556",Karnataka Zone,Mysore Police Station,F,<18,Indian,25-44,Other Asian,F,10,6,48
5380702640,2024-10-22,13:51:08,2021-03-03,14:03:02,2020-12-21,206,Assault,459,Vehicle Theft,COMPLETED,VIOLATION,Rajasthan Police,Rajasthan,79,Inside,Commercial,,,797317,792559,-82.832675,110.455423,"53.399002, -62.756019",Rajasthan Zone,Jaipur Police Station,M,45-64,White,18-24,Other Asian,F,12,19,174
279056716,2021-12-18,11:38:06,2024-02-27,20:05:45,2024-07-08,292,Assault,921,Domestic Violence,ATTEMPTED,VIOLATION,Gujarat Police,Gujarat,85,Inside,Public Transport,,,955118,753822,-13.268199,-146.141282,"-84.1251735, 90.992676",Gujarat Zone,Vadodara Police Station,M,65+,Other Asian,45-64,White,F,2,18,10
5476843839,2023-07-18,11:22:38,2021-08-27,04:16:59,2022-09-30,892,Drug Trafficking,544,Assault,ATTEMPTED,MISDEMEANOR,Bihar Police,Bihar,89,Outside,Public Transport,,,960881,852812,-63.942617,-105.079430,"27.2157475, 1.834302",Bihar Zone,Gaya Police Station,F,45-64,White,45-64,White,F,15,15,93
4974061428,2023-12-25,11:21:34,2021-08-06,19:40:49,2023-07-03,982,Drug Trafficking,990,Domestic Violence,ATTEMPTED,VIOLATION,Gujarat Police,Gujarat,91,Inside,Residence,,,977933,567275,-70.115183,-122.517763,"-54.788353, 148.016287",Gujarat Zone,Vadodara Police Station,M,65+,Other Asian,18-24,White,M,13,15,65
6955093277,2022-03-16,13:53:56,2022-02-26,18:58:59,2024-04-08,586,Fraud,158,Cyber Crime,COMPLETED,VIOLATION,Maharashtra Police,Maharashtra,15,Outside,Park,,,874938,504010,-45.190051,-30.828196,"-53.4373845, -21.679654",Maharashtra Zone,Pune Police Station,M,<18,Black,18-24,Other Asian,M,21,1,150
6040415749,2021-10-25,07:19:41,2023-01-15,18:20:25,2020-07-20,996,Kidnapping,594,Cyber Crime,ATTEMPTED,MISDEMEANOR,West Bengal Police,West Bengal,17,Inside,Public Transport,Howrah,,996049,501433,-22.388938,-142.013095,"39.705783, 38.371004",West Bengal Zone,Howrah Police Station,F,18-24,Indian,<18,Indian,F,8,10,40
4712119388,2022-09-20,07:18:22,2020-11-30,13:44:14,2023-07-01,867,Kidnapping,528,Theft,COMPLETED,FELONY,Bihar Police,Bihar,70,Outside,Street,,,531292,962616,-50.883476,37.101118,"-48.642701, 55.863607",Bihar Zone,Gaya Police Station,M,65+,Indian,65+,Indian,F,22,14,122
1709224608,2020-08-23,20:36:04,2022-01-23,16:22:34,2021-04-12,853,Fraud,999,Vehicle Theft,ATTEMPTED,FELONY,Rajasthan Police,Rajasthan,98,Inside,Residence,,,564066,902146,-22.657825,-112.657288,"48.7256435, 63.446566",Rajasthan Zone,Jaipur Police Station,M,18-24,Indian,65+,Black,M,1,1,121
6687257345,2021-05-23,10:24:44,2020-09-23,02:00:35,2023-01-17,883,Kidnapping,850,Dowry Death,ATTEMPTED,MISDEMEANOR,Tamil Nadu Police,Tamil Nadu,69,Outside,Residence,,,820930,598786,-12.736620,27.580732,"-55.5558785, -60.553953",Tamil Nadu Zone,Chennai Police Station,M,45-64,Indian,25-44,Other Asian,F,14,16,109
1119313363,2021-11-20,14:52:23,2020-05-05,06:22:14,2023-07-10,991,Domestic Violence,947,Domestic Violence,ATTEMPTED,MISDEMEANOR,Delhi Police,Delhi,21,Outside,Park,,,668423,618033,36.348219,86.614157,"-34.412541, 166.499052",Delhi Zone,Dwarka Police Station,M,45-64,Other Asian,<18,White,F,21,15,144
4254180354,2023-09-15,21:55:58,2021-12-25,18:10:47,2020-10-08,433,Murder,489,Drug Trafficking,COMPLETED,VIOLATION,Maharashtra Police,Maharashtra,47,Outside,Park,,,716644,837045,-68.3412215,4.769178,"-30.694192, 14.813815",Maharashtra Zone,Mumbai Police Station,M,45-64,White,25-44,White,F,21,18,121
